CustomerID,Age,Gender,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportCalls,SatisfactionScore,Churn
CUST1069,56,Male,67,69.45,4665.25,Two Year,DSL,Electronic Check,4,10,No
CUST1070,65,Male,27,101.32,2740.84,Month-to-Month,Fiber Optic,Bank Transfer,3,3,Yes
CUST1071,44,Female,61,57.86,3548.2,Month-to-Month,No Internet,UPI,7,2,No
CUST1072,68,Male,55,34.92,1876.56,Month-to-Month,Fiber Optic,UPI,2,2,No
CUST1073,56,Female,57,36.17,2065.69,One Year,No Internet,Electronic Check,4,9,No
CUST1074,56,Male,56,115.49,6476.15,One Year,Fiber Optic,Credit Card,3,10,Yes
CUST1075,66,Female,6,119.2,764.89,Month-to-Month,No Internet,Electronic Check,4,3,Yes
CUST1076,70,Female,12,81.1,964.36,Month-to-Month,DSL,Credit Card,2,6,No
CUST1077,60,Female,71,24.77,1795.16,Month-to-Month,DSL,UPI,1,7,No
CUST1078,18,Female,53,27.05,1459.65,Month-to-Month,No Internet,Electronic Check,10,8,Yes
CUST1079,53,Male,37,76.96,2877.45,One Year,Fiber Optic,Credit Card,10,10,No
CUST1080,37,Male,71,73.04,5185.68,Month-to-Month,Fiber Optic,Electronic Check,1,3,Yes
CUST1081,50,Female,54,128.51,6927.9,Two Year,Fiber Optic,Electronic Check,8,3,No
CUST1082,50,Male,9,55.91,535.24,One Year,DSL,UPI,8,5,Yes
CUST1083,37,Female,20,78.05,1597.96,Month-to-Month,DSL,Electronic Check,7,6,No
CUST1084,33,Female,30,131.28,3987.24,Month-to-Month,DSL,Electronic Check,6,7,No
CUST1085,59,Male,64,145.43,9267.49,Month-to-Month,No Internet,UPI,1,8,No
CUST1086,18,Male,53,133.22,7072.99,Two Year,Fiber Optic,Electronic Check,4,6,No
CUST1087,23,Female,69,69.4,4800.35,Month-to-Month,No Internet,Electronic Check,8,1,Yes
CUST1088,61,Female,30,117.08,3531.8,Month-to-Month,Fiber Optic,Credit Card,7,3,Yes
CUST1089,20,Female,8,58.14,471.71,Month-to-Month,Fiber Optic,Bank Transfer,8,7,Yes
CUST1090,28,Male,11,99.23,1055.84,Month-to-Month,No Internet,Bank Transfer,7,10,Yes
CUST1091,34,Female,33,106.69,3486.57,Two Year,DSL,UPI,10,9,No
CUST1092,40,Female,55,109.74,5996.37,Month-to-Month,DSL,Bank Transfer,6,8,Yes
CUST1093,40,Female,38,22.85,904.81,One Year,DSL,UPI,0,10,No
CUST1094,21,Female,37,120.85,4483.54,Month-to-Month,DSL,Bank Transfer,10,4,Yes
CUST1095,64,Male,13,137.44,1773.21,One Year,DSL,Electronic Check,0,10,Yes
CUST1096,36,Female,54,42.83,2354.17,Month-to-Month,No Internet,UPI,8,9,No
CUST1097,34,Female,38,117.05,4473.32,Month-to-Month,Fiber Optic,Electronic Check,1,3,Yes
CUST1098,61,Female,72,67.55,4859.08,One Year,Fiber Optic,UPI,8,2,No
CUST1099,61,Female,49,126.91,6230.54,Two Year,Fiber Optic,Bank Transfer,7,1,No
CUST1100,38,Male,9,102.6,885.07,Month-to-Month,No Internet,UPI,10,7,Yes
CUST1101,20,Female,64,35.1,2233.5,Month-to-Month,No Internet,Bank Transfer,6,8,No
CUST1102,62,Female,20,135.1,2721.03,One Year,DSL,Electronic Check,4,1,Yes
CUST1103,46,Male,47,32.92,1524.83,One Year,No Internet,UPI,0,7,No
CUST1104,70,Female,12,106.16,1248.28,One Year,No Internet,Credit Card,0,6,Yes
CUST1105,54,Male,9,127.88,1178.36,Month-to-Month,No Internet,Bank Transfer,3,6,No
CUST1106,56,Male,36,131.59,4753.35,Month-to-Month,Fiber Optic,UPI,2,2,Yes
CUST1107,18,Female,31,96.55,2995.66,Month-to-Month,DSL,Credit Card,2,7,No
CUST1108,48,Female,47,86.72,4098.56,Month-to-Month,No Internet,Bank Transfer,9,1,No
CUST1109,60,Female,59,103.63,6113.2,Month-to-Month,DSL,Electronic Check,6,2,Yes
CUST1110,22,Male,42,99.08,4164.42,Month-to-Month,DSL,UPI,6,10,Yes
CUST1111,56,Female,13,123.1,1639.11,Month-to-Month,No Internet,Bank Transfer,6,8,Yes
CUST1112,70,Female,52,74.08,3839.59,Month-to-Month,DSL,UPI,10,5,Yes
CUST1113,48,Male,12,128.13,1493.56,Month-to-Month,Fiber Optic,UPI,2,9,No
CUST1114,53,Female,16,73.41,1155.8,Two Year,DSL,Credit Card,4,10,No
CUST1115,50,Male,20,105.38,2069.09,Month-to-Month,Fiber Optic,UPI,8,6,Yes
CUST1116,32,Female,72,146.69,10514.58,One Year,No Internet,Credit Card,9,5,Yes
CUST1117,66,Female,44,65.63,2911.82,Month-to-Month,Fiber Optic,Electronic Check,1,3,No
CUST1118,23,Male,49,74.58,3664.04,Month-to-Month,DSL,UPI,5,10,No
CUST1119,27,Male,7,107.62,747.54,Month-to-Month,No Internet,Electronic Check,7,10,Yes
CUST1120,66,Male,45,75.89,3369.59,Month-to-Month,No Internet,Electronic Check,8,5,Yes
CUST1121,56,Male,1,46.58,8.58,Two Year,Fiber Optic,UPI,4,6,No
CUST1122,45,Male,17,69.43,1216.49,One Year,No Internet,UPI,1,7,Yes
CUST1123,19,Female,10,132.07,1299.65,Month-to-Month,No Internet,Electronic Check,10,7,Yes
CUST1124,38,Male,59,128.16,7555.01,Two Year,Fiber Optic,Electronic Check,1,4,Yes
CUST1125,23,Female,40,116.95,4681.06,Month-to-Month,Fiber Optic,Credit Card,8,2,Yes
CUST1126,67,Female,45,114.56,5130.8,One Year,Fiber Optic,Bank Transfer,1,3,Yes
CUST1127,27,Male,23,143.67,3318.71,One Year,DSL,Electronic Check,10,10,No
CUST1128,38,Female,20,77.17,1499.02,Month-to-Month,No Internet,UPI,4,10,No
CUST1129,37,Female,58,24.89,1455.12,Month-to-Month,DSL,Credit Card,10,2,Yes
CUST1130,47,Male,58,138.18,8014.58,Month-to-Month,Fiber Optic,UPI,9,8,No
CUST1131,46,Male,44,147.71,6520.0,Month-to-Month,No Internet,Bank Transfer,0,4,No
CUST1132,51,Male,47,68.47,3173.33,Month-to-Month,DSL,UPI,10,10,Yes
CUST1133,39,Male,43,32.29,1425.8,One Year,DSL,UPI,10,10,No
CUST1134,55,Male,45,60.33,2735.73,One Year,No Internet,Electronic Check,2,10,Yes
CUST1135,53,Female,43,125.71,5406.38,One Year,No Internet,Credit Card,10,7,Yes
CUST1136,37,Male,28,64.43,1761.76,One Year,Fiber Optic,Bank Transfer,2,3,No
CUST1137,24,Male,44,133.93,5861.0,One Year,No Internet,Electronic Check,2,3,No
CUST1138,57,Male,57,25.68,1442.25,Month-to-Month,No Internet,Bank Transfer,7,10,No
CUST1139,46,Male,69,51.09,3573.65,Two Year,DSL,Bank Transfer,5,10,No
CUST1140,36,Female,65,88.57,5771.17,Two Year,Fiber Optic,Bank Transfer,4,1,No
CUST1141,53,Male,67,130.65,8718.28,Month-to-Month,Fiber Optic,UPI,7,9,Yes
CUST1142,32,Female,45,140.96,6392.65,Month-to-Month,DSL,UPI,3,7,Yes
CUST1143,19,Female,13,129.09,1719.91,One Year,Fiber Optic,Bank Transfer,0,5,No
CUST1144,26,Female,58,100.0,5804.88,Two Year,Fiber Optic,UPI,3,3,No
CUST1145,51,Female,15,120.9,1827.4,Month-to-Month,Fiber Optic,Credit Card,3,7,No
CUST1146,22,Male,64,97.58,6238.04,Month-to-Month,No Internet,Bank Transfer,2,5,No
CUST1147,33,Female,24,106.37,2553.61,Month-to-Month,DSL,Credit Card,8,9,No
CUST1148,53,Male,50,133.53,6662.21,Month-to-Month,DSL,UPI,4,1,Yes
CUST1149,33,Male,43,37.34,1653.7,Month-to-Month,DSL,Bank Transfer,10,8,Yes
CUST1150,29,Male,9,113.09,1046.92,Two Year,Fiber Optic,UPI,3,1,No
CUST1151,38,Female,66,71.77,4715.43,One Year,DSL,UPI,0,4,No
CUST1152,21,Female,35,36.18,1313.67,Month-to-Month,DSL,Electronic Check,6,6,Yes
CUST1153,49,Female,67,54.67,3712.4,Month-to-Month,DSL,Credit Card,6,10,Yes
CUST1154,36,Female,14,30.41,392.4,One Year,DSL,Electronic Check,9,7,No
CUST1155,46,Male,46,99.93,4583.11,Month-to-Month,No Internet,Credit Card,1,7,No
CUST1156,61,Male,4,38.56,127.84,One Year,DSL,Credit Card,2,2,No
CUST1157,41,Female,5,98.66,500.69,One Year,DSL,UPI,7,2,Yes
CUST1158,43,Female,36,52.45,1876.9,Month-to-Month,No Internet,Bank Transfer,7,9,Yes
CUST1159,34,Female,58,47.89,2741.19,One Year,No Internet,Electronic Check,3,2,Yes
CUST1160,29,Female,12,125.37,1508.66,Two Year,DSL,UPI,1,9,No
CUST1161,28,Male,47,86.14,4001.21,Month-to-Month,Fiber Optic,Bank Transfer,3,8,No
CUST1162,41,Female,71,36.87,2620.34,Two Year,Fiber Optic,UPI,6,8,No
CUST1163,70,Male,17,146.41,2473.42,One Year,DSL,Electronic Check,10,9,No
CUST1164,67,Male,17,76.24,1276.49,Two Year,Fiber Optic,Credit Card,8,3,Yes
CUST1165,63,Male,45,143.17,6456.16,Month-to-Month,DSL,Credit Card,4,4,Yes
CUST1166,26,Female,69,32.15,2240.41,One Year,No Internet,Bank Transfer,2,10,No
CUST1167,54,Male,4,30.56,148.94,Two Year,No Internet,UPI,10,4,Yes
CUST1168,58,Male,64,135.57,8706.95,Month-to-Month,No Internet,UPI,7,4,Yes
CUST1169,37,Female,10,109.52,1079.22,Month-to-Month,DSL,Electronic Check,7,4,Yes
CUST1170,63,Female,45,146.8,6602.65,Month-to-Month,DSL,Credit Card,5,4,Yes
CUST1171,33,Male,13,26.58,376.89,Two Year,No Internet,Electronic Check,3,3,No
CUST1172,64,Female,25,119.21,2979.99,Month-to-Month,No Internet,Electronic Check,7,5,Yes
CUST1173,43,Female,31,47.97,1525.3,Month-to-Month,Fiber Optic,UPI,7,10,Yes
CUST1174,48,Female,69,21.06,1439.73,Month-to-Month,Fiber Optic,UPI,5,7,Yes
CUST1175,54,Male,47,91.92,4352.77,Month-to-Month,No Internet,Electronic Check,8,5,Yes
CUST1176,57,Male,17,146.76,2505.17,Month-to-Month,DSL,UPI,2,4,Yes
CUST1177,20,Male,5,37.81,228.36,Month-to-Month,DSL,Electronic Check,2,10,Yes
CUST1178,57,Female,21,71.08,1495.91,One Year,DSL,UPI,8,9,No
CUST1179,37,Female,3,67.89,213.36,One Year,DSL,UPI,10,1,Yes
CUST1180,59,Male,7,95.86,624.18,Month-to-Month,No Internet,Electronic Check,2,4,No
CUST1181,25,Male,3,77.34,259.52,Month-to-Month,DSL,Bank Transfer,6,9,No
CUST1182,65,Male,18,87.43,1555.12,Month-to-Month,No Internet,Electronic Check,8,7,Yes
CUST1183,52,Female,70,66.06,4593.43,One Year,No Internet,UPI,9,8,Yes
CUST1184,53,Female,29,142.39,4127.29,Two Year,DSL,Bank Transfer,7,6,No
CUST1185,68,Female,37,35.84,1305.13,One Year,DSL,Electronic Check,5,3,Yes
CUST1186,63,Male,45,140.12,6338.2,One Year,No Internet,Electronic Check,3,4,Yes
CUST1187,53,Female,18,34.2,588.17,One Year,Fiber Optic,Bank Transfer,0,9,No
CUST1188,24,Female,43,113.26,4860.87,Month-to-Month,Fiber Optic,Credit Card,8,3,Yes
CUST1189,48,Female,26,118.27,3048.24,Month-to-Month,DSL,Credit Card,1,10,No
CUST1190,20,Male,54,134.69,7316.92,Month-to-Month,Fiber Optic,Electronic Check,7,3,No
CUST1191,36,Male,2,58.79,120.01,One Year,DSL,UPI,7,9,No
CUST1192,26,Female,35,45.07,1599.31,Month-to-Month,Fiber Optic,Electronic Check,10,5,Yes
CUST1193,39,Female,25,42.81,1028.92,Two Year,DSL,Electronic Check,8,6,No
CUST1194,29,Male,62,62.07,3873.72,Month-to-Month,DSL,Electronic Check,3,8,No
CUST1195,37,Male,34,104.98,3535.29,One Year,Fiber Optic,Credit Card,7,5,No
CUST1196,63,Female,16,103.03,1646.3,Two Year,DSL,Bank Transfer,3,3,No
CUST1197,56,Female,54,111.25,6044.81,Two Year,No Internet,Bank Transfer,3,10,Yes
CUST1198,46,Female,10,139.24,1357.39,Month-to-Month,No Internet,Bank Transfer,9,9,Yes
CUST1199,51,Female,15,108.44,1657.47,One Year,DSL,Credit Card,8,8,No
CUST1200,50,Female,59,93.31,5480.74,Month-to-Month,No Internet,UPI,0,7,Yes
